Exp. no.	Control factors	Experimentally measured coating thickness (μm)	Model predictions	Absolute error (%)
Electric potential (kV)	Powder feed pressure (bar)	Distance between nozzle tip to the substrate (mm)	ANN model	SVM model	RSM model	ANN model	SVM model	RSM model
1	50	0.5	140	12.23	12.45	12.23	12.17	1.79	0.045	0.49
2	50	0.5	160	14.2	13.96	14.19	13.24	1.69	0.038	6.76
3	50	0.5	180	15.6	15.62	15.59	13.67	0.12	0.031	12.37
4	50	1.0	140	13.07	13.20	13.07	13.61	0.99	0.034	4.13
5	50	1.0	160	15.2	14.74	15.19	14.94	3.02	0.032	1.71
6	50	1.0	180	16.45	16.51	16.45	15.63	0.36	0.032	4.98
7	50	1.5	140	12.79	13.28	12.78	11.91	3.83	0.032	6.88
8	50	1.5	160	13.77	13.69	13.76	13.50	0.58	0.048	1.96
9	50	1.5	180	14.08	14.05	14.07	14.45	0.21	0.023	2.62
10	70	0.5	140	16.4	16.03	16.08	15.41	2.25	1.914	6.03
11	70	0.5	160	15.3	15.62	15.62	16.21	2.09	2.113	5.94
12	70	0.5	180	14.9	15.53	14.90	16.36	4.22	0.048	9.79
13	70	1.0	140	17.9	18.01	17.90	17.25	0.61	0.031	3.63
14	70	1.0	160	19.0	19.44	18.99	18.31	2.31	0.045	3.63
15	70	1.0	180	20.1	19.76	19.43	18.72	1.69	3.307	6.86
16	70	1.5	140	17.0	16.33	16.99	15.94	3.94	0.041	6.23
17	70	1.5	160	18.21	18.10	18.21	17.25	0.6	0.030	5.27
18	70	1.5	180	18.86	19.06	18.65	17.93	1.06	1.097	4.93
19	90	0.5	140	14.5	15.02	14.50	13.94	3.58	0.037	3.86
20	90	0.5	160	16.12	15.83	14.93	14.46	1.79	7.341	10.29
21	90	0.5	180	14.76	16.03	14.76	14.33	8.6	0.036	2.91
22	90	1.0	140	15.8	15.63	15.79	16.17	1.07	0.046	2.34
23	90	1.0	160	17.12	17.03	17.20	16.95	0.52	0.468	0.99
24	90	1.0	180	18.24	18.32	18.23	17.08	0.43	0.022	6.35
25	90	1.5	140	15.1	15.22	15.10	15.26	0.79	0.040	1.05
26	90	1.5	160	16.4	16.27	16.39	16.29	0.79	0.038	0.67
27	90	1.5	180	17.2	17.35	17.20	16.68	0.87	0.031	3.02
28	50	1.5	150	13.32	13.69	13.32	12.78	2.77	0.049	4.05
29	60	1.5	180	15.85	16.57	15.95	16.78	4.54	0.644	5.86
30	80	1.25	170	18.14	18.79	18.28	18.46	3.58	0.782	1.76
